file,tag,confidence,color,dimensions,last_analyzed,file_size
% Arabica Egypt Cairo Roastery.jpg,maze,2.18%,gray,528x330,2025-05-06T05:42:29.709281,60001
% Arabica Egypt Cairo Roastery.jpg,patio,1.72%,gray,528x330,2025-05-06T05:42:29.709281,60001
% Arabica Egypt Cairo Roastery.jpg,gray,100.00%,gray,528x330,2025-05-06T05:42:29.709281,60001
% Arabica Egypt Cairo Roastery.jpg,2025,100.00%,gray,528x330,2025-05-06T05:42:29.709281,60001
% Arabica Egypt Cairo Roastery.jpg,may,100.00%,gray,528x330,2025-05-06T05:42:29.709281,60001
% Arabica Egypt Cairo Roastery.jpg,image,100.00%,gray,528x330,2025-05-06T05:42:29.709281,60001
% Arabica Egypt Cairo Roastery.jpg,% arabica egypt cairo roastery,100.00%,gray,528x330,2025-05-06T05:42:29.709281,60001
% Arabica Ho Chi Minh City Roastery.jpg,prison,12.37%,gray,528x352,2025-05-06T05:42:29.772973,53318
% Arabica Ho Chi Minh City Roastery.jpg,shoji,2.24%,gray,528x352,2025-05-06T05:42:29.772973,53318
% Arabica Ho Chi Minh City Roastery.jpg,vault,1.93%,gray,528x352,2025-05-06T05:42:29.772973,53318
% Arabica Ho Chi Minh City Roastery.jpg,bannister,1.43%,gray,528x352,2025-05-06T05:42:29.772973,53318
% Arabica Ho Chi Minh City Roastery.jpg,lumbermill,1.29%,gray,528x352,2025-05-06T05:42:29.772973,53318
% Arabica Ho Chi Minh City Roastery.jpg,gray,100.00%,gray,528x352,2025-05-06T05:42:29.772973,53318
% Arabica Ho Chi Minh City Roastery.jpg,2025,100.00%,gray,528x352,2025-05-06T05:42:29.772973,53318
% Arabica Ho Chi Minh City Roastery.jpg,may,100.00%,gray,528x352,2025-05-06T05:42:29.772973,53318
% Arabica Ho Chi Minh City Roastery.jpg,image,100.00%,gray,528x352,2025-05-06T05:42:29.772973,53318
% Arabica Ho Chi Minh City Roastery.jpg,% arabica ho chi minh city roastery,100.00%,gray,528x352,2025-05-06T05:42:29.772973,53318
(beanroom).jpg,liner,23.79%,gray,528x422,2025-05-06T05:42:29.831780,43175
(beanroom).jpg,studio couch,3.28%,gray,528x422,2025-05-06T05:42:29.831780,43175
(beanroom).jpg,tub,2.78%,gray,528x422,2025-05-06T05:42:29.831780,43175
(beanroom).jpg,bathtub,1.50%,gray,528x422,2025-05-06T05:42:29.831780,43175
(beanroom).jpg,mosquito net,1.38%,gray,528x422,2025-05-06T05:42:29.831780,43175
(beanroom).jpg,gray,100.00%,gray,528x422,2025-05-06T05:42:29.831780,43175
(beanroom).jpg,2025,100.00%,gray,528x422,2025-05-06T05:42:29.831780,43175
(beanroom).jpg,may,100.00%,gray,528x422,2025-05-06T05:42:29.831780,43175
(beanroom).jpg,image,100.00%,gray,528x422,2025-05-06T05:42:29.831780,43175
(beanroom).jpg,(beanroom),100.00%,gray,528x422,2025-05-06T05:42:29.831780,43175
.hack__G.U. Last Recode.jpg,comic book,68.38%,gray,300x373,2025-05-06T05:42:29.894916,45146
.hack__G.U. Last Recode.jpg,book jacket,0.49%,gray,300x373,2025-05-06T05:42:29.894916,45146
.hack__G.U. Last Recode.jpg,toyshop,0.46%,gray,300x373,2025-05-06T05:42:29.894916,45146
.hack__G.U. Last Recode.jpg,crash helmet,0.25%,gray,300x373,2025-05-06T05:42:29.894916,45146
.hack__G.U. Last Recode.jpg,mask,0.22%,gray,300x373,2025-05-06T05:42:29.894916,45146
.hack__G.U. Last Recode.jpg,gray,100.00%,gray,300x373,2025-05-06T05:42:29.894916,45146
.hack__G.U. Last Recode.jpg,2025,100.00%,gray,300x373,2025-05-06T05:42:29.894916,45146
.hack__G.U. Last Recode.jpg,may,100.00%,gray,300x373,2025-05-06T05:42:29.894916,45146
.hack__G.U. Last Recode.jpg,image,100.00%,gray,300x373,2025-05-06T05:42:29.894916,45146
.hack__G.U. Last Recode.jpg,.hack__g.u. last recode,100.00%,gray,300x373,2025-05-06T05:42:29.894916,45146
007 Legends.jpg,comic book,26.55%,brown,300x345,2025-05-06T05:42:29.951095,25184
007 Legends.jpg,book jacket,9.17%,brown,300x345,2025-05-06T05:42:29.951095,25184
007 Legends.jpg,web site,2.26%,brown,300x345,2025-05-06T05:42:29.951095,25184
007 Legends.jpg,television,1.32%,brown,300x345,2025-05-06T05:42:29.951095,25184
007 Legends.jpg,sax,0.85%,brown,300x345,2025-05-06T05:42:29.951095,25184
007 Legends.jpg,brown,100.00%,brown,300x345,2025-05-06T05:42:29.951095,25184
007 Legends.jpg,2025,100.00%,brown,300x345,2025-05-06T05:42:29.951095,25184
007 Legends.jpg,may,100.00%,brown,300x345,2025-05-06T05:42:29.951095,25184
007 Legends.jpg,image,100.00%,brown,300x345,2025-05-06T05:42:29.951095,25184
007 Legends.jpg,007 legends,100.00%,brown,300x345,2025-05-06T05:42:29.951095,25184
025S Harajuku Store.jpg,grille,6.40%,gray,528x343,2025-05-06T05:42:30.010814,32755
025S Harajuku Store.jpg,studio couch,4.09%,gray,528x343,2025-05-06T05:42:30.010814,32755
025S Harajuku Store.jpg,limousine,2.80%,gray,528x343,2025-05-06T05:42:30.010814,32755
025S Harajuku Store.jpg,planetarium,2.53%,gray,528x343,2025-05-06T05:42:30.010814,32755
025S Harajuku Store.jpg,radiator,1.68%,gray,528x343,2025-05-06T05:42:30.010814,32755
025S Harajuku Store.jpg,gray,100.00%,gray,528x343,2025-05-06T05:42:30.010814,32755
025S Harajuku Store.jpg,2025,100.00%,gray,528x343,2025-05-06T05:42:30.010814,32755
025S Harajuku Store.jpg,may,100.00%,gray,528x343,2025-05-06T05:42:30.010814,32755
025S Harajuku Store.jpg,image,100.00%,gray,528x343,2025-05-06T05:42:30.010814,32755
025S Harajuku Store.jpg,025s harajuku store,100.00%,gray,528x343,2025-05-06T05:42:30.010814,32755
032 Brunch Restaurant.jpg,wardrobe,16.23%,pink,528x423,2025-05-06T05:42:30.071919,49969
032 Brunch Restaurant.jpg,desk,10.68%,pink,528x423,2025-05-06T05:42:30.071919,49969
032 Brunch Restaurant.jpg,dining table,7.51%,pink,528x423,2025-05-06T05:42:30.071919,49969
032 Brunch Restaurant.jpg,file,4.41%,pink,528x423,2025-05-06T05:42:30.071919,49969
032 Brunch Restaurant.jpg,chiffonier,3.76%,pink,528x423,2025-05-06T05:42:30.071919,49969
032 Brunch Restaurant.jpg,pink,100.00%,pink,528x423,2025-05-06T05:42:30.071919,49969
032 Brunch Restaurant.jpg,2025,100.00%,pink,528x423,2025-05-06T05:42:30.071919,49969
032 Brunch Restaurant.jpg,may,100.00%,pink,528x423,2025-05-06T05:42:30.071919,49969
032 Brunch Restaurant.jpg,image,100.00%,pink,528x423,2025-05-06T05:42:30.071919,49969
032 Brunch Restaurant.jpg,032 brunch restaurant,100.00%,pink,528x423,2025-05-06T05:42:30.071919,49969
09WOMEN Suwon Store.jpg,sliding door,7.79%,gray,528x352,2025-05-06T05:42:30.126532,34937
09WOMEN Suwon Store.jpg,studio couch,6.77%,gray,528x352,2025-05-06T05:42:30.126532,34937
09WOMEN Suwon Store.jpg,wardrobe,5.20%,gray,528x352,2025-05-06T05:42:30.126532,34937
09WOMEN Suwon Store.jpg,shoji,4.93%,gray,528x352,2025-05-06T05:42:30.126532,34937
09WOMEN Suwon Store.jpg,parallel bars,4.02%,gray,528x352,2025-05-06T05:42:30.126532,34937
09WOMEN Suwon Store.jpg,gray,100.00%,gray,528x352,2025-05-06T05:42:30.126532,34937
09WOMEN Suwon Store.jpg,2025,100.00%,gray,528x352,2025-05-06T05:42:30.126532,34937
09WOMEN Suwon Store.jpg,may,100.00%,gray,528x352,2025-05-06T05:42:30.126532,34937
09WOMEN Suwon Store.jpg,image,100.00%,gray,528x352,2025-05-06T05:42:30.126532,34937
09WOMEN Suwon Store.jpg,09women suwon store,100.00%,gray,528x352,2025-05-06T05:42:30.126532,34937
1.5-3 House.jpg,valley,4.67%,gray,528x352,2025-05-06T05:42:30.190643,76788
1.5-3 House.jpg,lakeside,3.72%,gray,528x352,2025-05-06T05:42:30.190643,76788
1.5-3 House.jpg,boathouse,3.21%,gray,528x352,2025-05-06T05:42:30.190643,76788
1.5-3 House.jpg,lumbermill,2.65%,gray,528x352,2025-05-06T05:42:30.190643,76788
1.5-3 House.jpg,monastery,1.69%,gray,528x352,2025-05-06T05:42:30.190643,76788
1.5-3 House.jpg,gray,100.00%,gray,528x352,2025-05-06T05:42:30.190643,76788
1.5-3 House.jpg,2025,100.00%,gray,528x352,2025-05-06T05:42:30.190643,76788
1.5-3 House.jpg,may,100.00%,gray,528x352,2025-05-06T05:42:30.190643,76788
1.5-3 House.jpg,image,100.00%,gray,528x352,2025-05-06T05:42:30.190643,76788
1.5-3 House.jpg,1.5-3 house,100.00%,gray,528x352,2025-05-06T05:42:30.190643,76788
1001 Spikes.jpg,comic book,39.13%,brown,300x358,2025-05-06T05:42:30.249827,18859
1001 Spikes.jpg,book jacket,8.19%,brown,300x358,2025-05-06T05:42:30.249827,18859
1001 Spikes.jpg,theater curtain,7.82%,brown,300x358,2025-05-06T05:42:30.249827,18859
1001 Spikes.jpg,stage,2.39%,brown,300x358,2025-05-06T05:42:30.249827,18859
1001 Spikes.jpg,breastplate,1.63%,brown,300x358,2025-05-06T05:42:30.249827,18859
1001 Spikes.jpg,brown,100.00%,brown,300x358,2025-05-06T05:42:30.249827,18859
1001 Spikes.jpg,2025,100.00%,brown,300x358,2025-05-06T05:42:30.249827,18859
1001 Spikes.jpg,may,100.00%,brown,300x358,2025-05-06T05:42:30.249827,18859
1001 Spikes.jpg,image,100.00%,brown,300x358,2025-05-06T05:42:30.249827,18859
1001 Spikes.jpg,1001 spikes,100.00%,brown,300x358,2025-05-06T05:42:30.249827,18859
100ft Robot Golf.jpg,comic book,44.42%,gray,300x300,2025-05-06T05:42:30.310427,40179
100ft Robot Golf.jpg,jigsaw puzzle,1.42%,gray,300x300,2025-05-06T05:42:30.310427,40179
100ft Robot Golf.jpg,slot,0.48%,gray,300x300,2025-05-06T05:42:30.310427,40179
100ft Robot Golf.jpg,packet,0.46%,gray,300x300,2025-05-06T05:42:30.310427,40179
100ft Robot Golf.jpg,doormat,0.36%,gray,300x300,2025-05-06T05:42:30.310427,40179
100ft Robot Golf.jpg,gray,100.00%,gray,300x300,2025-05-06T05:42:30.310427,40179
100ft Robot Golf.jpg,2025,100.00%,gray,300x300,2025-05-06T05:42:30.310427,40179
100ft Robot Golf.jpg,may,100.00%,gray,300x300,2025-05-06T05:42:30.310427,40179
100ft Robot Golf.jpg,image,100.00%,gray,300x300,2025-05-06T05:42:30.310427,40179
100ft Robot Golf.jpg,100ft robot golf,100.00%,gray,300x300,2025-05-06T05:42:30.310427,40179
101 Ways to Die.jpg,barrel,4.95%,black,300x240,2025-05-06T05:42:30.365379,17193
101 Ways to Die.jpg,oil filter,4.53%,black,300x240,2025-05-06T05:42:30.365379,17193
101 Ways to Die.jpg,trailer truck,3.11%,black,300x240,2025-05-06T05:42:30.365379,17193
101 Ways to Die.jpg,tank,2.01%,black,300x240,2025-05-06T05:42:30.365379,17193
101 Ways to Die.jpg,pencil sharpener,1.81%,black,300x240,2025-05-06T05:42:30.365379,17193
101 Ways to Die.jpg,black,100.00%,black,300x240,2025-05-06T05:42:30.365379,17193
101 Ways to Die.jpg,2025,100.00%,black,300x240,2025-05-06T05:42:30.365379,17193
101 Ways to Die.jpg,may,100.00%,black,300x240,2025-05-06T05:42:30.365379,17193
101 Ways to Die.jpg,image,100.00%,black,300x240,2025-05-06T05:42:30.365379,17193
101 Ways to Die.jpg,101 ways to die,100.00%,black,300x240,2025-05-06T05:42:30.365379,17193
10° of Seperation House.jpg,patio,17.30%,gray,528x396,2025-05-06T05:42:30.428006,69263
10° of Seperation House.jpg,window screen,9.49%,gray,528x396,2025-05-06T05:42:30.428006,69263
10° of Seperation House.jpg,sliding door,3.23%,gray,528x396,2025-05-06T05:42:30.428006,69263
10° of Seperation House.jpg,mobile home,2.38%,gray,528x396,2025-05-06T05:42:30.428006,69263
10° of Seperation House.jpg,greenhouse,1.63%,gray,528x396,2025-05-06T05:42:30.428006,69263
10° of Seperation House.jpg,gray,100.00%,gray,528x396,2025-05-06T05:42:30.428006,69263
10° of Seperation House.jpg,2025,100.00%,gray,528x396,2025-05-06T05:42:30.428006,69263
10° of Seperation House.jpg,may,100.00%,gray,528x396,2025-05-06T05:42:30.428006,69263
10° of Seperation House.jpg,image,100.00%,gray,528x396,2025-05-06T05:42:30.428006,69263
10° of Seperation House.jpg,10° of seperation house,100.00%,gray,528x396,2025-05-06T05:42:30.428006,69263
11 Dwellings in Forest.jpg,library,22.44%,pink,528x422,2025-05-06T05:42:30.492173,57829
11 Dwellings in Forest.jpg,window screen,9.78%,pink,528x422,2025-05-06T05:42:30.492173,57829
11 Dwellings in Forest.jpg,window shade,9.21%,pink,528x422,2025-05-06T05:42:30.492173,57829
11 Dwellings in Forest.jpg,boathouse,5.34%,pink,528x422,2025-05-06T05:42:30.492173,57829
11 Dwellings in Forest.jpg,prison,5.24%,pink,528x422,2025-05-06T05:42:30.492173,57829
11 Dwellings in Forest.jpg,pink,100.00%,pink,528x422,2025-05-06T05:42:30.492173,57829
11 Dwellings in Forest.jpg,2025,100.00%,pink,528x422,2025-05-06T05:42:30.492173,57829
11 Dwellings in Forest.jpg,may,100.00%,pink,528x422,2025-05-06T05:42:30.492173,57829
11 Dwellings in Forest.jpg,image,100.00%,pink,528x422,2025-05-06T05:42:30.492173,57829
11 Dwellings in Forest.jpg,11 dwellings in forest,100.00%,pink,528x422,2025-05-06T05:42:30.492173,57829
11 Social Houses in Palma.jpg,apiary,10.68%,gray,528x396,2025-05-06T05:42:30.558251,79098
11 Social Houses in Palma.jpg,picket fence,9.35%,gray,528x396,2025-05-06T05:42:30.558251,79098
11 Social Houses in Palma.jpg,mobile home,4.60%,gray,528x396,2025-05-06T05:42:30.558251,79098
11 Social Houses in Palma.jpg,worm fence,1.29%,gray,528x396,2025-05-06T05:42:30.558251,79098
11 Social Houses in Palma.jpg,library,0.76%,gray,528x396,2025-05-06T05:42:30.558251,79098
11 Social Houses in Palma.jpg,gray,100.00%,gray,528x396,2025-05-06T05:42:30.558251,79098
11 Social Houses in Palma.jpg,2025,100.00%,gray,528x396,2025-05-06T05:42:30.558251,79098
11 Social Houses in Palma.jpg,may,100.00%,gray,528x396,2025-05-06T05:42:30.558251,79098
11 Social Houses in Palma.jpg,image,100.00%,gray,528x396,2025-05-06T05:42:30.558251,79098
11 Social Houses in Palma.jpg,11 social houses in palma,100.00%,gray,528x396,2025-05-06T05:42:30.558251,79098
11-11_ Memories Retold.jpg,book jacket,7.27%,gray,300x373,2025-05-06T05:42:30.619531,32709
11-11_ Memories Retold.jpg,comic book,6.53%,gray,300x373,2025-05-06T05:42:30.619531,32709
11-11_ Memories Retold.jpg,caldron,2.91%,gray,300x373,2025-05-06T05:42:30.619531,32709
11-11_ Memories Retold.jpg,pitcher,2.42%,gray,300x373,2025-05-06T05:42:30.619531,32709
11-11_ Memories Retold.jpg,ptarmigan,1.22%,gray,300x373,2025-05-06T05:42:30.619531,32709
11-11_ Memories Retold.jpg,gray,100.00%,gray,300x373,2025-05-06T05:42:30.619531,32709
11-11_ Memories Retold.jpg,2025,100.00%,gray,300x373,2025-05-06T05:42:30.619531,32709
11-11_ Memories Retold.jpg,may,100.00%,gray,300x373,2025-05-06T05:42:30.619531,32709
11-11_ Memories Retold.jpg,image,100.00%,gray,300x373,2025-05-06T05:42:30.619531,32709
11-11_ Memories Retold.jpg,11-11_ memories retold,100.00%,gray,300x373,2025-05-06T05:42:30.619531,32709
111 House.jpg,lakeside,17.20%,gray,528x297,2025-05-06T05:42:30.679159,34199
111 House.jpg,mobile home,9.92%,gray,528x297,2025-05-06T05:42:30.679159,34199
111 House.jpg,boathouse,8.89%,gray,528x297,2025-05-06T05:42:30.679159,34199
111 House.jpg,patio,3.00%,gray,528x297,2025-05-06T05:42:30.679159,34199
111 House.jpg,planetarium,2.22%,gray,528x297,2025-05-06T05:42:30.679159,34199
111 House.jpg,gray,100.00%,gray,528x297,2025-05-06T05:42:30.679159,34199
111 House.jpg,2025,100.00%,gray,528x297,2025-05-06T05:42:30.679159,34199
111 House.jpg,may,100.00%,gray,528x297,2025-05-06T05:42:30.679159,34199
111 House.jpg,image,100.00%,gray,528x297,2025-05-06T05:42:30.679159,34199
111 House.jpg,111 house,100.00%,gray,528x297,2025-05-06T05:42:30.679159,34199
116 Rokeby Building.jpg,library,15.21%,pink,528x422,2025-05-06T05:42:30.737374,46151
116 Rokeby Building.jpg,crane,6.44%,pink,528x422,2025-05-06T05:42:30.737374,46151
116 Rokeby Building.jpg,palace,3.44%,pink,528x422,2025-05-06T05:42:30.737374,46151
116 Rokeby Building.jpg,scoreboard,2.04%,pink,528x422,2025-05-06T05:42:30.737374,46151
116 Rokeby Building.jpg,flagpole,2.04%,pink,528x422,2025-05-06T05:42:30.737374,46151
116 Rokeby Building.jpg,pink,100.00%,pink,528x422,2025-05-06T05:42:30.737374,46151
116 Rokeby Building.jpg,2025,100.00%,pink,528x422,2025-05-06T05:42:30.737374,46151
116 Rokeby Building.jpg,may,100.00%,pink,528x422,2025-05-06T05:42:30.737374,46151
116 Rokeby Building.jpg,image,100.00%,pink,528x422,2025-05-06T05:42:30.737374,46151
116 Rokeby Building.jpg,116 rokeby building,100.00%,pink,528x422,2025-05-06T05:42:30.737374,46151
13 Pieces House.jpg,picket fence,6.43%,pink,528x352,2025-05-06T05:42:30.797463,65391
13 Pieces House.jpg,maypole,2.70%,pink,528x352,2025-05-06T05:42:30.797463,65391
13 Pieces House.jpg,traffic light,2.54%,pink,528x352,2025-05-06T05:42:30.797463,65391
13 Pieces House.jpg,restaurant,2.16%,pink,528x352,2025-05-06T05:42:30.797463,65391
13 Pieces House.jpg,horse cart,1.87%,pink,528x352,2025-05-06T05:42:30.797463,65391
13 Pieces House.jpg,pink,100.00%,pink,528x352,2025-05-06T05:42:30.797463,65391
13 Pieces House.jpg,2025,100.00%,pink,528x352,2025-05-06T05:42:30.797463,65391
13 Pieces House.jpg,may,100.00%,pink,528x352,2025-05-06T05:42:30.797463,65391
13 Pieces House.jpg,image,100.00%,pink,528x352,2025-05-06T05:42:30.797463,65391
13 Pieces House.jpg,13 pieces house,100.00%,pink,528x352,2025-05-06T05:42:30.797463,65391
136 Quai des Chartrons.jpg,plate rack,13.58%,gray,528x352,2025-05-06T05:42:30.854969,40281
136 Quai des Chartrons.jpg,bannister,11.76%,gray,528x352,2025-05-06T05:42:30.854969,40281
136 Quai des Chartrons.jpg,palace,5.30%,gray,528x352,2025-05-06T05:42:30.854969,40281
136 Quai des Chartrons.jpg,flagpole,1.96%,gray,528x352,2025-05-06T05:42:30.854969,40281
136 Quai des Chartrons.jpg,library,1.42%,gray,528x352,2025-05-06T05:42:30.854969,40281
136 Quai des Chartrons.jpg,gray,100.00%,gray,528x352,2025-05-06T05:42:30.854969,40281
136 Quai des Chartrons.jpg,2025,100.00%,gray,528x352,2025-05-06T05:42:30.854969,40281
136 Quai des Chartrons.jpg,may,100.00%,gray,528x352,2025-05-06T05:42:30.854969,40281
136 Quai des Chartrons.jpg,image,100.00%,gray,528x352,2025-05-06T05:42:30.854969,40281
136 Quai des Chartrons.jpg,136 quai des chartrons,100.00%,gray,528x352,2025-05-06T05:42:30.854969,40281
14-bis House.jpg,mobile home,27.63%,gray,528x353,2025-05-06T05:42:30.913785,49230
14-bis House.jpg,patio,10.54%,gray,528x353,2025-05-06T05:42:30.913785,49230
14-bis House.jpg,boathouse,8.63%,gray,528x353,2025-05-06T05:42:30.913785,49230
14-bis House.jpg,bannister,7.04%,gray,528x353,2025-05-06T05:42:30.913785,49230
14-bis House.jpg,window screen,1.77%,gray,528x353,2025-05-06T05:42:30.913785,49230
14-bis House.jpg,gray,100.00%,gray,528x353,2025-05-06T05:42:30.913785,49230
14-bis House.jpg,2025,100.00%,gray,528x353,2025-05-06T05:42:30.913785,49230
14-bis House.jpg,may,100.00%,gray,528x353,2025-05-06T05:42:30.913785,49230
14-bis House.jpg,image,100.00%,gray,528x353,2025-05-06T05:42:30.913785,49230
14-bis House.jpg,14-bis house,100.00%,gray,528x353,2025-05-06T05:42:30.913785,49230
146 Residential Building.jpg,bookcase,13.48%,gray,528x792,2025-05-06T05:42:30.981022,97091
146 Residential Building.jpg,window screen,6.74%,gray,528x792,2025-05-06T05:42:30.981022,97091
146 Residential Building.jpg,library,4.95%,gray,528x792,2025-05-06T05:42:30.981022,97091
146 Residential Building.jpg,flagpole,1.61%,gray,528x792,2025-05-06T05:42:30.981022,97091
146 Residential Building.jpg,window shade,1.52%,gray,528x792,2025-05-06T05:42:30.981022,97091
146 Residential Building.jpg,gray,100.00%,gray,528x792,2025-05-06T05:42:30.981022,97091
146 Residential Building.jpg,2025,100.00%,gray,528x792,2025-05-06T05:42:30.981022,97091
146 Residential Building.jpg,may,100.00%,gray,528x792,2025-05-06T05:42:30.981022,97091
146 Residential Building.jpg,image,100.00%,gray,528x792,2025-05-06T05:42:30.981022,97091
146 Residential Building.jpg,146 residential building,100.00%,gray,528x792,2025-05-06T05:42:30.981022,97091
1516 W Carroll Ave Adaptive Reuse Building.jpg,prison,11.90%,gray,528x396,2025-05-06T05:42:31.044614,56235
1516 W Carroll Ave Adaptive Reuse Building.jpg,seashore,4.40%,gray,528x396,2025-05-06T05:42:31.044614,56235
1516 W Carroll Ave Adaptive Reuse Building.jpg,boathouse,3.57%,gray,528x396,2025-05-06T05:42:31.044614,56235
1516 W Carroll Ave Adaptive Reuse Building.jpg,dock,3.39%,gray,528x396,2025-05-06T05:42:31.044614,56235
1516 W Carroll Ave Adaptive Reuse Building.jpg,crane,3.38%,gray,528x396,2025-05-06T05:42:31.044614,56235
1516 W Carroll Ave Adaptive Reuse Building.jpg,gray,100.00%,gray,528x396,2025-05-06T05:42:31.044614,56235
1516 W Carroll Ave Adaptive Reuse Building.jpg,2025,100.00%,gray,528x396,2025-05-06T05:42:31.044614,56235
1516 W Carroll Ave Adaptive Reuse Building.jpg,may,100.00%,gray,528x396,2025-05-06T05:42:31.044614,56235
1516 W Carroll Ave Adaptive Reuse Building.jpg,image,100.00%,gray,528x396,2025-05-06T05:42:31.044614,56235
1516 W Carroll Ave Adaptive Reuse Building.jpg,1516 w carroll ave adaptive reuse building,100.00%,gray,528x396,2025-05-06T05:42:31.044614,56235
17 Rue des Quatre-Cheminées Residence.jpg,library,13.11%,gray,528x704,2025-05-06T05:42:31.109225,90640
17 Rue des Quatre-Cheminées Residence.jpg,traffic light,8.57%,gray,528x704,2025-05-06T05:42:31.109225,90640
17 Rue des Quatre-Cheminées Residence.jpg,window shade,7.76%,gray,528x704,2025-05-06T05:42:31.109225,90640
17 Rue des Quatre-Cheminées Residence.jpg,flagpole,5.31%,gray,528x704,2025-05-06T05:42:31.109225,90640
17 Rue des Quatre-Cheminées Residence.jpg,prison,5.11%,gray,528x704,2025-05-06T05:42:31.109225,90640
17 Rue des Quatre-Cheminées Residence.jpg,gray,100.00%,gray,528x704,2025-05-06T05:42:31.109225,90640
17 Rue des Quatre-Cheminées Residence.jpg,2025,100.00%,gray,528x704,2025-05-06T05:42:31.109225,90640
17 Rue des Quatre-Cheminées Residence.jpg,may,100.00%,gray,528x704,2025-05-06T05:42:31.109225,90640
17 Rue des Quatre-Cheminées Residence.jpg,image,100.00%,gray,528x704,2025-05-06T05:42:31.109225,90640
17 Rue des Quatre-Cheminées Residence.jpg,17 rue des quatre-cheminées residence,100.00%,gray,528x704,2025-05-06T05:42:31.109225,90640
18 Floors.jpg,guillotine,6.96%,gray,300x168,2025-05-06T05:42:31.172867,12025
18 Floors.jpg,spotlight,4.07%,gray,300x168,2025-05-06T05:42:31.172867,12025
18 Floors.jpg,comic book,3.02%,gray,300x168,2025-05-06T05:42:31.172867,12025
18 Floors.jpg,book jacket,2.84%,gray,300x168,2025-05-06T05:42:31.172867,12025
18 Floors.jpg,home theater,2.71%,gray,300x168,2025-05-06T05:42:31.172867,12025
18 Floors.jpg,gray,100.00%,gray,300x168,2025-05-06T05:42:31.172867,12025
18 Floors.jpg,2025,100.00%,gray,300x168,2025-05-06T05:42:31.172867,12025
18 Floors.jpg,may,100.00%,gray,300x168,2025-05-06T05:42:31.172867,12025
18 Floors.jpg,image,100.00%,gray,300x168,2025-05-06T05:42:31.172867,12025
18 Floors.jpg,18 floors,100.00%,gray,300x168,2025-05-06T05:42:31.172867,12025
184 Social Housing Tower.jpg,lakeside,7.31%,gray,528x422,2025-05-06T05:42:31.240984,89304
184 Social Housing Tower.jpg,park bench,4.94%,gray,528x422,2025-05-06T05:42:31.240984,89304
184 Social Housing Tower.jpg,fountain,3.88%,gray,528x422,2025-05-06T05:42:31.240984,89304
184 Social Housing Tower.jpg,maze,2.42%,gray,528x422,2025-05-06T05:42:31.240984,89304
184 Social Housing Tower.jpg,library,2.25%,gray,528x422,2025-05-06T05:42:31.240984,89304
184 Social Housing Tower.jpg,gray,100.00%,gray,528x422,2025-05-06T05:42:31.240984,89304
184 Social Housing Tower.jpg,2025,100.00%,gray,528x422,2025-05-06T05:42:31.240984,89304
184 Social Housing Tower.jpg,may,100.00%,gray,528x422,2025-05-06T05:42:31.240984,89304
184 Social Housing Tower.jpg,image,100.00%,gray,528x422,2025-05-06T05:42:31.240984,89304
184 Social Housing Tower.jpg,184 social housing tower,100.00%,gray,528x422,2025-05-06T05:42:31.240984,89304
