Name,Description
Jerome H. Powell,"The ex-Carlyle Group partner became the world's top central banker in February 2018, after President Trump declined to extend Janet Yellen's term.As Fed chief, Powell holds the keys to the world's largest economy, and runs the printing presses for its reserve currency.In 1992, Powell served as Undersecretary of the Treasury under President George H.W. Bush.He earned a law degree from Georgetown University and was editor-in-chief of the Georgetown Law Journal."
Emmanuel Macron,"Macron is at the helm of Europe's third largest economy after winning a landslide victory in the 2017 election against populist Marine Le Pen.In an interview with Forbes in April, Macron announced he intends to scrap the 30 percent tax on people who try to take their money out of France.Prior to becoming the President, Macron worked as an investment banker for Rothschild & Cie Banque in Paris and was the country's economy minister.In September 2017 Macron signed into law several controversial labor reforms which allow companies more freedom when hiring and firing employees.Macron took a firm stance after Trump announced U.S. will leave the Paris climate accord, noting that the agreement will not be renegotiated."
Mark Zuckerberg,"A 19-year-old Mark Zuckerberg started Facebook in 2004 for students to match names with photos of classmates.Zuckerberg took Facebook public in 2012; he now owns about 13% of the company's stock.Facebook changed its name to Meta in 2021 to shift the company's focus to the metaverse.In 2015, Zuckerberg and his wife, Priscilla Chan, pledged to give away 99% of their Meta stake over their lifetimes."
Theresa May,"A snap election in June 2017 aimed at shoring up her party's majority backfired, leaving May's Conservatives with 317 Parliament seats from 330.She managed to broker a confidence and supply deal with Northern Ireland's Democratic Unionist Party (DUP) to support May's minority government. Only by a slim majority of 3% of Britons voted to leave the EU in a referendum vote last year that led then-Prime Minister David Cameron to resign. Now May has to guide her country through this bumpy transition government with no time to waste: the deadline for the U.K. to separate is April 2019."
Li Keqiang,"China's second-most powerful man is often travelling or hosting leaders to secure economic and security partnerships for his 1.4 billion constituents. In November 2017 Keqiang met U.S. President Trump at the Great Hall of the People and expressed US-China relations have enjoyed positive development.Unlike the U.S. president, Keqiang praises free trade and climate change action, notably at a World Economic Conference in China in June 2017. An ex-member of the top leadership of the Communist Youth League, Li has been widely considered a close political ally of former leader Hu Jintao."
Warren Buffett,"Known as the ""Oracle of Omaha,"" Warren Buffett is one of the most successful investors of all time.Buffett runs Berkshire Hathaway, which owns dozens of companies, including insurer Geico, battery maker Duracell and restaurant chain Dairy Queen.The son of a U.S. congressman, he first bought stock at age 11 and first filed taxes at age 13.He has promised to donate over 99% of his wealth. So far he has given some $62 billion, mostly through the Gates Foundation and his kids' foundations.In 2010, he and Bill Gates launched the Giving Pledge, asking other billionaires to commit to donating at least half of their fortune to charitable causes."
Ali Hoseini-Khamenei,"As Iran's Supreme Leader, Ayatollah Ali Khamenei begrudgingly approved a nuclear agreement between his country and seven world powers in April 2015. Pressured by a crippled economy caused by coordinated international sanctions and a weak oil market, he agreed to compromise to have sanctions lifted.Since first assuming power in 1989, Khamenei has worked to establish Iran as a nuclear power, and has maintained fierce antipathy towards the U.S.He reaffirmed that position by thanking Trump for doing ""the job we had been trying to do in the past decades: to divulge the true face of the US."""
Mario Draghi,"As president of the European Central Bank (ECB), Mario Draghi has presided over an era of disintegrating faith in EU, notable in the 2016 Brexit vote.He has worked to promote growth in the Eurozone through an aggressive course of quantitative easing, and has championed negative interest rates.In October 2017 ECB announced it will to cut the bond buying program to 30 billion euros per month from 60 billion.Prior to becoming President of ECB, Draghi worked at the World Bank, followed by a stint at Goldman Sachs and six years as Governor of Italy.He earned his nickname ""Super Mario,"" for his heroic ability to navigate European politics."
Jamie Dimon,"Jamie Dimon runs JPMorgan Chase, the largest bank in the U.S. in terms of assets.Dimon, a Harvard Business School grad, began his finance career at American Express in 1982 and later helped build the modern day Citigroup.He has been CEO of JPMorgan Chase since 2006 and chairman since 2007.His move to unload $12 billion of subprime mortgages in 2006 buffered his bank against the 2008 crash.Dimon was rumored to be a candidate for treasury secretary under Donald Trump in both 2016 and 2024, and he sat on Trump's policy forum until it was disbanded in 2017."
Carlos Slim Helu,"Mexico's richest person, Carlos Slim Hel¨² and his family control Am¨¦rica M¨®vil, Latin America's biggest mobile telecom firm.With foreign telecom partners, Slim bought a stake in Telmex, Mexico's only phone company, in 1990. Telmex is now part of Am¨¦rica M¨®vil.He also owns stakes in Mexican construction, consumer goods, mining and real estate companies. He previously held a 17% stake in The New York Times.His son-in-law Fernando Romero designed the Soumaya Museum in Mexico City, home to Slim's extensive, eclectic art collection.Slim and his family own 76% of Grupo Carso, one of Latin America's largest conglomerates."
Jack Ma,"A former English teacher, Jack Ma cofounded Alibaba Group, now one of the world's largest e-commerce businesses, in 1999.The former high-flying billionaire stepped down as Alibaba's executive chairman in 2019.After approximately a year overseas, Ma returned to China in 2023 just as Alibaba unveiled a plan to split itself into six businesses.But that overhaul now appears to be on hold after the company walked back from the IPO plans of its Cainiao logistics unit and cloud computing arm.Ma remains a spiritual leader, and often encourages employees to innovate and change at a time of heightened market competition."
Christine Lagarde,"Lagarde became the first woman to head the European Central Bank on November 1, 2019.As head of European monetary policy, Lagarde faces a critical test: ensuring economic growth in a high-inflation environment.From 2011 until mid-2019, Lagarde ran the International Monetary Fund that works to ensure the stability of the global monetary system.She was the first woman to hold that position.In analyzing the 2008 financial crisis, Lagarde has pointed to ""groupthink"" in the male-dominated industry and called for gender reform."
Doug McMillon,"Doug McMillon took the reins of the retail colossus in 2014, after starting his career at Walmart unloading trucks when he was a teen.The youngest CEO to lead the company since founder Sam Walton helms the world's largest private workforce, with 2.3 million employees.The retail giant is planning to open fewer supercenters over the next year as it spends more on ecommerce, customer service and in-store technology."
Tim Cook,"Tim Cook is the CEO of Apple, one of the world's most valuable companies.Cook, who became chief executive in 2011, had previously served as Apple's chief operating officer under Steve Jobs.Cook joined Apple in 1998, having worked briefly at PC-maker Compaq and for 12 years at IBM.Cook owns more than 3 million shares of Apple, less than a 1% stake; he's sold hundreds of millions of dollars' worth of shares over the years.Since 2005, he has also served on the board of Nike."
Elon Musk,"Elon Musk cofounded seven companies, including electric car maker Tesla, rocket producer SpaceX and artificial intelligence startup xAI.He owns about 12% of Tesla excluding options, but has pledged more than half his shares as collateral for personal loans of up to $3.5 billion.In early 2024, a Delaware judge voided Musk's 2018 deal to receive options equaling an additional 9% of Tesla. Forbes has discounted the options by 50% pending Musk's appeal.SpaceX, founded in 2002, is worth $350 billion based on a private share sale during December 2024. Musk owns an estimated 42% stake.Musk bought Twitter in a $44 billion (enterprise value) deal during 2022. Forbes estimates that the social media company, which he renamed X, is worth nearly 70% less as of August 2024.Musk owns an estimated 54% of xAI, which he founded in 2023. Private investors valued the company at a reported $50 billion in November 2024."
Benjamin Netanyahu,"Israel's four time prime minister has been in trouble recently, under investigation for corruption and accused of receiving benefits from businessmen.In January he was questioned by the policy in a third third case in which he is allegedly involved, with Netanyahu continuing to deny the accusations. In August it was announced that Ari Harow, his former chief-of-staff has agreed to testify against him in the graft probe.With his approval records hitting record lows, Netanyahu is increasingly playing up to his conservative base.In August 2018 he vowed that Israel will not give up settlements in Palestinian land in the West Bank claiming that they are ""here to stay forever."""
Ma Huateng,"Ma Huateng, also known as Pony Ma, is the chairman and CEO of Chinese internet giant Tencent Holdings.Tencent's popular social messaging app WeChat has nearly 1.4 billion monthly users.Known at home for mobile games such as battle game Honor of Kings, Tencent is also one of the largest videogame publishers globally and has acquired a stake in U.S. videogame company Epic Games.It has also invested in electric car maker Tesla and music-streaming service Spotify, which in turn has a stake in its Tencent Music.Ma led research and development of Internet paging system development at China Motion Telecom Development before starting Tencent in 1998."
Larry Fink,"Larry Fink is the founder, CEO and chairman of powerhouse investment management firm BlackRock, one of the world's largest asset managers.He and seven partners founded BlackRock in 1988. Originally it was part of The Blackstone Group.BlackRock was spun off from Blackstone in 1994 and went public in 1999.Today Blackrock has $11.6 trillion in assets under management.Before starting BlackRock, Fink was a managing director at The First Boston Corporation."
Akio Toyoda,"Akio Toyoda, grandson of Toyota founder Kiichiro Toyoda, became CEO of the world's largest automaker eight years ago.In its most recent fiscal year, the Japanese car company made 10.4 million vehicles and pulled in upward of $20 billion in net profits.In March 2018, Toyota said it would invest nearly $3 billion to build software for autonomous cars, entering the competitive self-driving car field."
John L. Flannery,"John L. Flannery became CEO and chairman of industrial giant GE in August 2017, following the retirement of longtime chief Jeffrey Immelt.GE posted an operating loss of $8.54 billion in 2017, on sales of $122.1 billion.Flannery joined GE in 1987, and built his career as an executive at GE Capital and GE India.He is a graduate of Fairfield University and holds an MBA from the Wharton School at the University of Pennsylvania."
Antonio Guterres,"Guterres began his five year term as the Secretary-General of the United Nations in January 2017.As a former prime minister of Portugal, Guterres was a member of the team that negotiated the country's 1986 entrance into the European Union.He was also UN High Commissioner for Refugees--all experience he'll need to draw on in order to help defuse Europe's ongoing migrant crisis.As head of the 193 member United Nations, the Secretary-General helps promote peace, fight hunger and protect millions of refugees worldwide.Guterres will be the ninth occupant of the post, serving as chief administrative officer of the organization for at least one (and usually two) terms."
Mukesh Ambani,"Mukesh Ambani chairs and runs $120 billion (revenue) Reliance Industries, which has interests in petrochemicals, oil and gas, telecom, retail, media and financial services.Reliance was founded by his late father Dhirubhai Ambani, a yarn trader, in 1966 as a small textile manufacturer. After his father's death in 2002, Ambani and his younger sibling Anil divvied up the family empire.Reliance's telecom and broadband service Jio has 490 million subscribers. In July 2023, Reliance listed its finance arm, Jio Financial Services.Ambani has expanded Reliance into green energy. The company will be investing $80 billion over the next 10-15 years on renewable energy and building a new complex next to its refinery.Ambani's three children joined the board of Reliance in 2023. Son Akash heads Jio; daughter Isha oversees retail and financial services; and younger son Anant is in the energy business"
Jean-Claude Juncker,"The ex-Prime Minister of Luxembourg has held the highest position in the executive branch of the European Union since 2014.Juncker has an onerous task of restoring faith in the union in the face of Brexit and a growing anti-EU sentiment in countries across the continent.While he considers Brexit to be a catastrophe, Juncker has expressed open doors for the United Kingdom if it ever wants to join again. His most important job as President of the Commission is to determine the policy agenda and to represent the Commission in G7 and G20 meetings."
Darren Woods,"Darren Woods was elected Chairman and CEO of the world's largest publicly traded international oil and gas company in January 2017.Exxon has struggled to increase output and profits in recent years, but revenues are ticking up in 2018 along with the price of crude oil.Woods joined Exxon in 1992 as a planning analyst and was appointed a vice president of Exxon Mobil Corporation in 2012"
Sergey Brin,"Sergey Brin stepped down as president of Alphabet, parent company of Google, in December 2019 but remains a board member and a controlling shareholder.Brin moved to the U.S. from Russia when he was 6 years old in the wake of anti-Semitism against his family.He cofounded Google with Larry Page in 1998 after the two met at Stanford University while studying for advanced degrees in computer science.Google went public in 2004 and began trading as Alphabet, a newly created parent company, in 2015.Brin has reportedly put $250 million into LTA Research, his high-tech airship project."
Kim Jong-un,"On paper, North Korea's enigmatic ""Supreme Leader"" has absolute control over the lives of the 25 million people living in his isolated, rusting stateIn April 2018, he crossed the southern border where and shook hands with the Prime Minister of South Korea, Moon Jae-in, signaling a softening stance.Earlier, in September 2017, U.S. President Trump threatened to destroy North Korea, and Kim called Trump a ""dotard"" and later sentenced him to death.Kim's half-brother was poisoned with a VX nerve agent at Kuala Lumpur International Airport. It is speculated that it was ordered by NK government.In practice, it's unclear how much power he shares with military leaders. What's clear is he's fond of saber-rattling."
Charles Koch,"Charles Koch has been chairman of Koch, Inc., America's second largest private company by revenue, since 1967. He brought on his first ever co-CEO in 2023.The diversified company has some $125 billion in revenues from businesses including pipelines, chemicals, software, automotive components and Dixie cups.His father, Fred Koch, improved a method of refining heavy oil into gasoline in 1927 and started the family business in 1940.In 1983 Charles and his brother David (d. 2019) bought out their siblings Bill and Frederick (d. 2020) for a reported $800 million. David's widow Julia Koch inherited his 42% stake.From 2020 to 2022, Charles transferred $5.3 billion of Koch, Inc.'s nonvoting stock to a pair of nonprofits with fewer restrictions on lobbying and politics than traditional charities.Forbes estimates those shares accounted for nearly a tenth of the 42% stake previously held by Koch (though he still has 42% voting power)."
Shinzo Abe,"Shinzo Abe won the October 2017 parliamentary election and his fourth 4-year term as Japan's highest elected official.In early 2018 a series of scandals broke out, alleging that Abe has used his position of power to grant favors, which resulted in big protests. Since becoming prime minister in 2012 he has employed economic policies dubbed ""Abenomics,"" pumping billions of dollars into Japan's economic growth. Under constant threat of North Korean missiles, Abe has broken away from Japan's famous military neutrality and said ""all options are on the table.""Hailing from a political family (his grandfather and great uncle served as prime ministers) Abe began his career in Japan's lower house of parliament."
Rupert Murdoch,"Rupert Murdoch built a media empire that includes cable channel Fox News, The Times of London and The Wall Street Journal. He stepped down as chairman in September 2023.Murdoch sold most of Fox's movie studio, FX, and National Geographic Networks and its stake in Star India to Disney for $71.3 billion in March 2019.Murdoch's son, Lachlan, runs the new Fox, which consists of its broadcast, cable news, business and sports networks.Though several of his companies are known for their conservative tilt, he initially urged Mike Bloomberg to run for president against Donald Trump.A native of Australia, Murdoch inherited a newspaper at age 22 after his father, a former war correspondent, passed away."
Satya Nadella,"Satya Nadella replaced billionaire Steve Ballmer as Microsoft CEO in 2014. Prior to that, Nadella was Microsoft EVP of the cloud and enterprise group. He has steered the company away from a failing mobile strategy and focused on other segments, including cloud computing and augmented reality.In 2016 he oversaw the purchase of the professional network LinkedIn for $26.2 billion. A native of India, Nadella came to the U.S. as a student, earning an M.S. in computer science from U. of Wisconsin-Milwaukee and an MBA from U. of Chicago."
Jim Yong Kim,"In September 2016 Kim was re-elected as the World Bank president for a five-year term.Kim outlined two key objectives: reduce extreme poverty levels to below 3% of global people, and grow the incomes of the bottom 40% of each country.To that end, his organization lends out cash (nearly $59 billion a year) and development advice through its network of 189 member states.A medical doctor and anthropologist, Kim has steered huge sums towards clean energy projects in Southeast Asia and the fight against Ebola in Africa."
Stephen Schwarzman,"The son of a dry goods store owner, Stephen Schwarzman founded private equity firm Blackstone with fellow billionaire Peter Peterson in 1985.Initially a boutique merger-and-acquisition advisory business, Blackstone grew into the world's largest buyout firm, with over $1 trillion in assets.While Peter Peterson (d. 2018) retired shortly after Blackstone's 2007 IPO, Schwarzman still presides over the business as chairman and CEO.Schwarzman got his start on Wall Street at Lehman Brothers; he writes in his 2019 memoir about mistakes by management at that firm.He started his first business, a lawn-mowing operation, at age 14, employing his younger twin brothers to mow while he brought in the clients."
Khalifa bin Zayed Al-Nahyan,"As hereditary ruler of Abu Dhabi, the richest emirate in the U.A.E., Al-Nahyan is among the world's wealthiest monarchs.In addition to controlling 97.8 billion barrels of reserves; he runs one of the largest sovereign wealth funds, with reported assets of $830 billion.The U.A.E. has gone to the mat in the war against Islamist extremists, particularly ISIS, which has resulted in unexpectedly high military casualties.In September 2015, 45 Emirati soldiers were killed by rebels in one day in Yemen, marking the largest single-day death toll for the nation's army."
Haruhiko Kuroda,"Now in his fifth year as head of Japan's central bank, Kuroda directs the monetary policy of a nearly $5 trillion economy, third largest in the world.In February 2018, Prime Minister Shinzo Abe reappointed Kuroda for another term as the head of Bank of Japan (BOJ).A month earlier,  BOJ said it intends to keep the short-term policy rate at negative 0.1%, while it expects to reach 2% inflation by fiscal 2019.Prior to holding his current position, Kuroda was a President of the Asian Development Bank and Special Adviser to the Prime Minister Koizumi."
Abdel Fattah el-Sisi,"Abdel Fattah el Sisi is the incumbent president of Egypt, the most populous state in the Arab world and Africa's second largest economy. In April 2018, he secured a second term in office after winning 97% of the vote in the presidential election.A former Egyptian defense minister and commander in chief of the armed forces, he assumed power in 2014.Previously, in 2013, the Egyptian military ousted President Mohamed Morsi, with el-Sisi saying Morsi ""did not achieve the goals of the people."" Friend of economic reform and foe to many civil liberties and ""extremist thought,"" el-Sisi has backed actions against ISIS."
Li Ka-shing,"Nicknamed Superman, Li Ka-shing is revered as one of the most influential businessmen in Asia.Li retired as chairman of CK Hutchison Holdings and CK Asset Holdings in 2018 but remains senior advisor.His son Victor now heads the conglomerate, which has more than 300,000 employees and operates in more than 50 nations.Li started Cheung Kong Plastics, named after the Yangtze River, in 1950 at age 21 with $6,500 in savings and loans from relatives.His Li Ka Shing Foundation has donated more than $3.8 billion; over 80% has gone to Greater China."
Lloyd Blankfein,"Lloyd Blankfein was chairman and CEO of financial behemoth Goldman Sachs from 2006 to 2018, when he was succeeded by David Solomon.Before leading Goldman Sachs, he worked under then-CEO Henry Paulson as the company's president and chief operations officer from 2004 to 2006.Blankfein first became a partner at the firm in 1988.Blankfein grew up in the projects in Brooklyn, graduated as a valedictorian from Thomas Jefferson High School before getting history and law degrees from Harvard."
Recep Tayyip Erdogan,"As president of Turkey since 2014, Recep Erdogan has gradually bent the country's democratic system towards autocracy.Erdogan has steadily solidified power since stamping out democratic protests over jailing of journalists, political opponents and academics.In April 2018 he announced early parliamentary and presidential elections, which he and his Justice and Development Party are expected to win. Still serving as prime minister, Erdogan is an unique position of power given his country's geographic location and military power. In July 2016, he survived an attempt to oust him, though many have since questioned whether the coup was designed to help him purge political enemies."
Bob Iger,"Now in his 13th year as CEO of Disney, Bob Iger leads the largest media conglomerate in the world. The company's movie studio, theme parks and TV stations drove revenue in 2017 to $55 billion and net profit to $9.4 billion.Under Iger Disney has swallowed Pixar, Marvel, Lucasfilm and most recently 21st Century Fox in a $52 billion deal. Iger's contract expires in July 2019, but he could stay longer than expected. In addition, his name has also been thrown around as a potential contender in the presidential elections in 2020."
Michel Temer,"Formerly Brazil's Vice-President, Temer rose to the top position in 2016 after President Dilma Rousseff was impeached and removed.As head of the largest country in Latin America, his main goal is to bolster the economy, which rose last year (by 1%) for the first time since 2014.Roussef's predecessor Luiz In¨¢cio Lula da Silva also faced scandal, and was sentenced to 10 years in prison for corruption."
Michael Bloomberg,"Michael Bloomberg cofounded financial information and media company Bloomberg LP in 1981.He put in the seed funding for the company and now owns 88% of the business, which has estimated revenues north of $13 billion.In August 2023, he appointed product head Vlad Kliatchko as CEO of Bloomberg LP and former Bank of England governor Mark Carney as non-executive chair of a new board of directors.Bloomberg got his start on Wall Street in 1966 with an entry level job at investment bank Salomon Brothers. He was fired 15 years later.A major philanthropist, he gave away $3 billion in 2023, and has donated more than $17.4 billion in his lifetime to gun safety, climate change, education and other causes.He has committed to donating his stake in Bloomberg LP to Bloomberg Philanthropies when he dies, if not sooner.Bloomberg served as mayor of New York City for 12 years, from 2002 to 2013, and launched an unsuccessful bid for president in the 2020 race."
Wang Jianlin,"Wang Jianlin is the chairman of Dalian Wanda Group, which has investments in real estate, finance and movie theaters.Dalian Wanda is one of the world's biggest commercial real estate developers with more than 500 plazas across China.Once the richest man in Asia, Wang has been retreating in recent years, selling his Chinese hotel and tourism portfolio for over $9 billion in 2017.The tycoon has also sold most of his stake in U.S. movie theater chain AMC and a stake in Spanish soccer club Atletico de Madrid.In 2024, Wang ceded control of property management unit Zhuhai Wanda Commercial Management in an $8.3 billion deal, after failing to take it public on the Hong Kong Stock Exchange."
Mary Barra,"GM's CEO since 2014, Barra is the first woman to lead one of the big three automakers in the U.S.Barra has invested billions in electric vehicles and self-driving cars. GM aims to produce 1 million EVs by the end of 2025, the company said in late 2023.Barra first started working at GM in 1980 as a student in their co-op program. The first division she worked under was Pontiac Motors.She is the chair of the Business Roundtable, a collection of America's most powerful corporate CEOs. Barra also sits on the board of directors for the Walt Disney Company."
Moon Jae-in,"Moon Jae-in is the 12th President of South Korea. He took office in May 2017 following the impeachment of his predecessor, Park Geun-hye.In just a year after taking office, Moon has presided over a successful Winter Olympics in PyeongChang and begun negotiating peace with North Korea.In April 2018, Moon met his North Korean counterpart Kim Jong-un at the country's shared border. Moon will be a hugely important figure in North Korea's upcoming talks with the U.S. and maybe, eventual reunification of the Korean peninsula."
Masayoshi Son,"Masayoshi Son founded and runs investment giant SoftBank Group.Investors in Son's Vision Fund 1 include Apple, Qualcomm, Foxconn, the family office of billionaire Larry Ellison and Saudi Arabia's sovereign fund.The Vision Funds have invested in over 400 companies, including ride-share firm Grab,  Korean e-commerce leader Coupang and India's food-delivery platform Swiggy.For the year ended March 2024, SoftBank Group reported a $1.7 billion loss, down from $7.3 billion the previous year.In December, Son pledged that SoftBank will invest $100 billion and create 100,000 jobs in the U.S. over the next four years of Donald Trump's second presidential term."
Bernard Arnault,"Bernard Arnault oversees the LVMH empire of 75 fashion and cosmetics brands, including Louis Vuitton and Sephora.LVMH acquired American jeweler Tiffany & Co in 2021 for $15.8 billion, believed to be the biggest luxury brand acquisition ever.Arnault's holding company Agache backs venture capital firm Agla¨¦ Ventures, which has investments in businesses such as Netflix and TikTok parent company ByteDance.His father made a small fortune in construction; Arnault got his start by putting up $15 million from that business to buy Christian Dior in 1984.Arnault's five children all work at LVMH; in July 2022, he proposed a reorganization of his holding company Agache to become a limited partnership.LVMH was the lead sponsor of the 2024 Paris Olympics and, together with Arnault, contributed 200 million euros to the restoration of Notre Dame Cathedral, which reopened in December 2024."
Justin Trudeau,"Justin Trudeau has been prime minister of Canada since November 2015. He assumed the role at 43, becoming the second-youngest person to hold the job. The son of ex-prime minister Pierre Trudeau, who held office from 1968 to 1984, Justin's career began in 2008 when he was elected to the Parliament.Trudeau favors tax cuts for the middle class--saying he would be open to deficit spending to recoup the difference--and action on climate change.He also supports the decriminalization of marijuana, which he said he has smoked as recently as 2010, when he was a member of Parliament."
Robin Li,"Robin Li is cofounder, chairman and CEO of Baidu, China's top search engine by market share and one of the world's most popular websites.In 2016, Li was criticized for trying to buy out Baidu's iQiyi video channel at a bargain price; he failed and iQiyi went public in 2018.Baidu in 2023 rolled out a chatbot rival to ChatGPT called Ernie.The company has also rolled out driverless robotaxis in several Chinese cities. It reportedly wants to expand the service overseas as well."
Michael Dell,"Michael Dell is chairman and CEO of Dell Technologies, which formed in 2016 via Dell's $60 billion merger with computer storage giant EMC.In late 2018 Dell Technologies returned to public markets through a complicated financial restructuring.Dell's cloud software arm, VMware, spun off in 2021; Microchip firm Broadcom bought it in 2023 for $69 billion, 39% of which went to Dell.Much of Dell's fortune lies in his private investment firm DFO Management, which has stakes in hotels and invests in liquid corporate credit.In 2023, Dell gifted over $3 billion worth of cash and stock to his foundation, which focuses on child poverty, and his donor-advised fund."
Hui Ka Yan,"Hui Ka Yan is the embattled chairman of Hong Kong-listed Evergrande Group, one of China's biggest and most indebted real estate developers.Evergrande, which Hui took public in 2009, was officially labelled a defaulter in December 2021 and is struggling to repay $327 billion in liabilities.Hui worked as a technician in a steel factory for 10 years after graduating college in 1982.Hui started Evergrande in Guangzhou in 1996 and later took on a debt-fueled expansion that saw the company building more than a thousand housing projects across the country."
Lee Hsien Loong,"Lee Hsien Loong has served as Prime Minister of Singapore since 2004, and helped develop the country's outsized financial presence on the world stage.Lee is also chair of GIC Private Limited, one of the world's largest sovereign wealth funds, with estimated assets under management of $359 billion.Singapore's economy grew at a better-than-expected 3.6 percent in 2017"
Bashar al-Assad,"Since 2011 Syrian president Bashar al-Assad has been fighting a vicious campaign against rebel factions within his country. The civil war, which began with peaceful protests inspired by the Arab Spring, has since turned into one of the planet's bloodiest conflicts.As a result, millions of Syrian refugees have fled to neighboring states, refugee camps and distant European shores, fueling anti-immigrant sentiment.With military support from Russia and Iran, Assad has all but regained control over country where ISIS has also been active.A former practicing doctor, Assad assumed the presidency in 2000. His father, Hafez al-Assad, previously held the role for nearly three decades."
